t, pose_x, pose_y, pose_theta, linear_displacement, linear_velocity, profile_displacement, profile_velocity, velocity_command_dx, velocity_command_dy, velocity_command_dtheta, steering_command_dx, steering_command_dy, steering_command_dtheta, cross_track_error, along_track_error, lookahead_point_x, lookahead_point_y, lookahead_point_velocity
2.06, 55.0, 169.48849553632735, 1.5707963267948966, 151.48849553632738, 90.10271213449325, 151.61065874005763, 90.0, 90.10199292704341, 0.0, 0.0, 138.9769910726547, 0.0, 0.0, 61.48849553632735, 0.12216320373025269, 55.0, 30.51150446367265, 90.0
2.07, 55.0, 170.38951546559778, 1.5707963267948966, 152.3895154655978, 90.10199292704341, 152.5106587400576, 90.0, 90.10127870722191, 0.0, 0.0, 140.77903093119556, 0.0, 0.0, 62.38951546559778, 0.12114327445979711, 55.0, 29.610484534402218, 90.0
2.0799999999999996, 55.0, 171.29052825267001, 1.5707963267948966, 153.29052825267004, 90.10127870722191, 153.41065874005758, 90.0, 90.10056944046035, 0.0, 0.0, 142.58105650534003, 0.0, 0.0, 63.290528252670015, 0.1201304873875415, 55.0, 28.709471747329985, 90.0
2.0899999999999994, 55.0, 172.19153394707462, 1.5707963267948966, 154.19153394707465, 90.10056944046035, 154.31065874005756, 90.0, 90.09986509243001, 0.0, 0.0, 144.38306789414924, 0.0, 0.0, 64.19153394707462, 0.119124792982916, 55.0, 27.808466052925382, 90.0
2.099999999999999, 55.0, 173.0925325979989, 1.5707963267948966, 155.09253259799894, 90.09986509243001, 155.21065874005754, 90.0, 90.09916562904, 0.0, 0.0, 146.18506519599782, 0.0, 0.0, 65.09253259799891, 0.11812614205859973, 55.0, 26.90746740200109, 90.0
2.109999999999999, 55.0, 173.9935242542893, 1.5707963267948966, 155.99352425428933, 90.09916562904, 156.11065874005752, 90.0, 90.09847101643572, 0.0, 0.0, 147.9870485085786, 0.0, 0.0, 65.9935242542893, 0.11713448576819019, 55.0, 26.006475745710702, 90.0
2.1199999999999988, 55.0, 174.89450896445365, 1.5707963267948966, 156.89450896445368, 90.09847101643572, 157.0106587400575, 90.0, 90.0977812209972, 0.0, 0.0, 149.7890179289073, 0.0, 0.0, 66.89450896445365, 0.1161497756038159, 55.0, 25.10549103554635, 90.0
2.1299999999999986, 55.0, 175.7954867766636, 1.5707963267948966, 157.79548677666364, 90.0977812209972, 157.91065874005747, 90.0, 90.09709620933751, 0.0, 0.0, 151.59097355332722, 0.0, 0.0, 67.79548677666361, 0.11517196339383418, 55.0, 24.20451322333639, 90.0
2.1399999999999983, 55.0, 176.69645773875698, 1.5707963267948966, 158.696457738757, 90.09709620933751, 158.81065874005745, 90.0, 90.09641594830104, 0.0, 0.0, 153.39291547751395, 0.0, 0.0, 68.69645773875698, 0.11420100130044375, 55.0, 23.303542261243024, 89.40274124823202
2.149999999999998, 55.0, 177.59742189824, 1.5707963267948966, 159.59742189824001, 90.09641594830104, 159.71065874005743, 90.0, 90.09574040496204, 0.0, 0.0, 155.19484379647997, 0.0, 0.0, 69.59742189823999, 0.113236841817411, 55.0, 22.402578101760014, 88.18513902252695
2.159999999999998, 55.0, 178.4983793022896, 1.5707963267948966, 160.49837930228964, 90.09574040496204, 160.6106587400574, 90.0, 90.09506954662292, 0.0, 0.0, 156.9967586045792, 0.0, 0.0, 70.4983793022896, 0.11227943776776783, 55.0, 21.501620697710393, 86.95049722371056
2.1699999999999977, 55.0, 179.39932999775584, 1.5707963267948966, 161.39932999775587, 90.09506954662292, 161.51065874005738, 90.0, 90.0944033408127, 0.0, 0.0, 158.79865999551168, 0.0, 0.0, 71.39932999775584, 0.11132874230150946, 55.0, 20.600670002244158, 85.69807932817747
2.1799999999999975, 55.0, 180.30027403116398, 1.5707963267948966, 162.300274031164, 90.0944033408127, 162.41065874005736, 90.0, 90.09374175528546, 0.0, 0.0, 160.60054806232796, 0.0, 0.0, 72.30027403116398, 0.11038470889334917, 55.0, 19.69972596883602, 84.4270941849869
2.1899999999999973, 55.0, 181.20121144871683, 1.5707963267948966, 163.20121144871686, 90.09374175528546, 163.31065874005733, 90.0, 90.09308475801875, 0.0, 0.0, 162.40242289743367, 0.0, 0.0, 73.20121144871683, 0.10944729134047293, 55.0, 18.798788551283167, 83.13669016931067
2.199999999999997, 55.0, 182.10214229629702, 1.5707963267948966, 164.10214229629705, 90.09308475801875, 164.2106587400573, 90.0, 90.09243231721206, 0.0, 0.0, 164.20428459259404, 0.0, 0.0, 74.10214229629702, 0.1085164437602657, 55.0, 17.897857703702982, 81.82594850589092
2.209999999999997, 55.0, 183.00306661946914, 1.5707963267948966, 165.00306661946917, 90.09243231721206, 165.1106587400573, 90.0, 90.09178440128528, 0.0, 0.0, 166.00613323893828, 0.0, 0.0, 75.00306661946914, 0.10759212058812295, 55.0, 16.996933380530862, 80.49387561378448
2.2199999999999966, 55.0, 183.903984463482, 1.5707963267948966, 165.90398446348203, 90.09178440128528, 166.01065874005727, 90.0, 90.0911409788771, 0.0, 0.0, 167.807968926964, 0.0, 0.0, 75.903984463482, 0.10667427657523376, 55.0, 16.096015536517996, 79.13939429111346
2.2299999999999964, 55.0, 184.80489587327077, 1.5707963267948966, 166.8048958732708, 90.0911409788771, 166.91065874005724, 90.0, 90.09050201884371, 0.0, 0.0, 169.60979174654153, 0.0, 0.0, 76.80489587327077, 0.1057628667864492, 55.0, 15.195104126729234, 77.76133351746881
2.239999999999996, 55.0, 185.7058008934592, 1.5707963267948966, 167.70580089345924, 90.09050201884371, 167.81065874005722, 90.0, 90.089867490257, 0.0, 0.0, 171.41160178691842, 0.0, 0.0, 77.70580089345921, 0.10485784659798014, 55.0, 14.294199106540788, 76.35841659941482
2.249999999999996, 55.0, 186.6066995683618, 1.5707963267948966, 168.60669956836182, 90.089867490257, 168.7106587400572, 90.0, 90.08923736240331, 0.0, 0.0, 173.21339913672358, 0.0, 0.0, 78.60669956836179, 0.10395917169537938, 55.0, 13.39330043163821, 74.92924731767408
2.259999999999996, 55.0, 187.50759194198582, 1.5707963267948966, 169.50759194198585, 90.08923736240331, 169.61065874005718, 90.0, 90.08861160478176, 0.0, 0.0, 175.01518388397164, 0.0, 0.0, 79.50759194198582, 0.10306679807132468, 55.0, 12.492408058014178, 73.47229364817328
